Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
4.19 0 0 -20 0 LOS -inf 66.5659
4.2 0 0 -20 0 LOS -inf 66.5668
4.21 0 0 -20 0 LOS -inf 66.5677
4.22 0 0 -20 0 LOS -inf 66.5686
4.23 0 0 -20 0 LOS -inf 66.5695
4.24 0 0 -20 0 LOS -inf 66.5703
4.25 0 0 -20 0 LOS -inf 66.5712
4.26 0 0 -20 0 LOS -inf 66.5721
4.27 0 0 -20 0 LOS -inf 66.573
4.28 0 0 -20 0 LOS -inf 66.5739
4.29 0 0 -20 0 LOS -inf 66.5748
4.3 0 0 -20 0 LOS -inf 66.5757
4.31 0 0 -20 0 LOS -inf 66.5765
4.32 0 0 -20 0 LOS -inf 66.5774
4.33 0 0 -20 0 LOS -inf 66.5783
4.34 0 0 -20 0 LOS -inf 66.5792
4.35 0 0 -20 0 LOS -inf 66.5801
4.36 0 0 -20 0 LOS -inf 66.581
4.37 0 0 -20 0 LOS -inf 66.5819
4.38 0 0 -20 0 LOS -inf 66.5829
4.39 0 0 -20 0 LOS -inf 66.5838
4.4 0 0 -20 0 LOS -inf 66.5847
4.41 0 0 -20 0 LOS -inf 66.5856
4.42 0 0 -20 0 LOS -inf 66.5865
4.43 0 0 -20 0 LOS -inf 66.5874
4.44 0 0 -20 0 LOS -inf 66.5883
4.45 0 0 -20 0 LOS -inf 66.5893
4.46 0 0 -20 0 LOS -inf 66.5902
4.47 0 0 -20 0 LOS -inf 66.5911
4.48 0 0 -20 0 LOS -inf 66.592
4.49 0 0 -20 0 LOS -inf 66.5929
4.5 0 0 -20 0 LOS -inf 66.5939
4.51 0 0 -20 0 LOS -inf 66.5948
4.52 0 0 -20 0 LOS -inf 66.5957
4.53 0 0 -20 0 LOS -inf 66.5967
4.54 0 0 -20 0 LOS -inf 66.5976
4.55 0 0 -20 0 LOS -inf 66.5986
4.56 0 0 -20 0 LOS -inf 66.5995
4.57 0 0 -20 0 LOS -inf 66.6004
4.58 0 0 -20 0 LOS -inf 66.6014
4.59 0 0 -20 0 LOS -inf 66.6023
4.6 0 0 -20 0 LOS -inf 66.6033
4.61 0 0 -20 0 LOS -inf 66.6042
4.62 0 0 -20 0 LOS -inf 66.6052
4.63 0 0 -20 0 LOS -inf 66.6061
4.64 0 0 -20 0 LOS -inf 66.6071
4.65 0 0 -20 0 LOS -inf 66.608
4.66 0 0 -20 0 LOS -inf 66.609
4.67 0 0 -20 0 LOS -inf 66.61
4.68 0 0 -20 0 LOS -inf 66.6109
4.69 0 0 -20 0 LOS -inf 66.6119
4.7 0 0 -20 0 LOS -inf 66.6129
4.71 0 0 -20 0 LOS -inf 66.6138
4.72 0 0 -20 0 LOS -inf 66.6148
4.73 0 0 -20 0 LOS -inf 66.6158
4.74 0 0 -20 0 LOS -inf 66.6167
4.75 0 0 -20 0 LOS -inf 66.6177
4.76 0 0 -20 0 LOS -inf 66.6187
4.77 0 0 -20 0 LOS -inf 66.6197
4.78 0 0 -20 0 LOS -inf 66.6206
4.79 0 0 -20 0 LOS -inf 66.6216
4.8 0 0 -20 0 LOS -inf 66.6226
4.81 0 0 -20 0 LOS -inf 66.6236
4.82 0 0 -20 0 LOS -inf 66.6246
4.83 0 0 -20 0 LOS -inf 66.6256
4.84 0 0 -20 0 LOS -inf 66.6266
4.85 0 0 -20 0 LOS -inf 66.6276
4.86 0 0 -20 0 LOS -inf 66.6286
4.87 0 0 -20 0 LOS -inf 66.6296
4.88 0 0 -20 0 LOS -inf 66.6306
4.89 0 0 -20 0 LOS -inf 66.6316
4.9 0 0 -20 0 LOS -inf 66.6326
4.91 0 0 -20 0 LOS -inf 66.6336
4.92 0 0 -20 0 LOS -inf 66.6346
4.93 0 0 -20 0 LOS -inf 66.6356
4.94 0 0 -20 0 LOS -inf 66.6366
4.95 0 0 -20 0 LOS -inf 66.6376
4.96 0 0 -20 0 LOS -inf 66.6386
4.97 0 0 -20 0 LOS -inf 66.6396
4.98 0 0 -20 0 LOS -inf 66.6406
4.99 0 0 -20 0 LOS -inf 66.6417
5 0 0 -20 0 LOS -inf 66.6427
5.01 0 0 -20 0 LOS -inf 66.6437
5.02 0 0 -20 0 LOS -inf 66.6447
5.03 0 0 -20 0 LOS -inf 66.6458
5.04 0 0 -20 0 LOS -inf 66.6468
5.05 0 0 -20 0 LOS -inf 66.6478
5.06 0 0 -20 0 LOS -inf 66.6489
5.07 0 0 -20 0 LOS -inf 66.6499
5.08 0 0 -20 0 LOS -inf 66.6509
5.09 0 0 -20 0 LOS -inf 66.652
5.1 0 0 -20 0 LOS -inf 66.653
5.11 0 0 -20 0 LOS -inf 66.654
5.12 0 0 -20 0 LOS -inf 66.6551
5.13 0 0 -20 0 LOS -inf 66.6561
5.14 0 0 -20 0 LOS -inf 66.6572
5.15 0 0 -20 0 LOS -inf 66.6582
5.16 0 0 -20 0 LOS -inf 66.6593
5.17 0 0 -20 0 LOS -inf 66.6603
5.18 0 0 -20 0 LOS -inf 66.6614
5.19 0 0 -20 0 LOS -inf 66.6624
5.2 0 0 -20 0 LOS -inf 66.6635
5.21 0 0 -20 0 LOS -inf 66.6645
5.22 0 0 -20 0 LOS -inf 66.6656
5.23 0 0 -20 0 LOS -inf 66.6667
5.24 0 0 -20 0 LOS -inf 66.6677
5.25 0 0 -20 0 LOS -inf 66.6688
5.26 0 0 -20 0 LOS -inf 66.6699
5.27 0 0 -20 0 LOS -inf 66.6709
5.28 0 0 -20 0 LOS -inf 66.672
5.29 0 0 -20 0 LOS -inf 66.6731
5.3 0 0 -20 0 LOS -inf 66.6742
5.31 0 0 -20 0 LOS -inf 66.6752
5.32 0 0 -20 0 LOS -inf 66.6763
5.33 0 0 -20 0 LOS -inf 66.6774
5.34 0 0 -20 0 LOS -inf 66.6785
5.35 0 0 -20 0 LOS -inf 66.6795
5.36 0 0 -20 0 LOS -inf 66.6806
5.37 0 0 -20 0 LOS -inf 66.6817
5.38 0 0 -20 0 LOS -inf 66.6828
5.39 0 0 -20 0 LOS -inf 66.6839
5.4 0 0 -20 0 LOS -inf 66.685
5.41 0 0 -20 0 LOS -inf 66.6861
5.42 0 0 -20 0 LOS -inf 66.6872
5.43 0 0 -20 0 LOS -inf 66.6883
5.44 0 0 -20 0 LOS -inf 66.6894
5.45 0 0 -20 0 LOS -inf 66.6905
5.46 0 0 -20 0 LOS -inf 66.6916
