theta_rad,phi_rad,gain_db
0.649262,-1.75929,-20
0.712094,-1.75929,-20
0.774926,-1.75929,-20
0.837758,-1.75929,-20
0.90059,-1.75929,-20
0.963422,-1.75929,-20
1.02625,-1.75929,-20
-1.0472,-1.69646,-20
-0.984366,-1.69646,-20
-0.921534,-1.69646,-20
-0.858702,-1.69646,-20
-0.79587,-1.69646,-20
-0.733038,-1.69646,-20
-0.670206,-1.69646,-20
-0.607375,-1.69646,-20
-0.544543,-1.69646,-20
-0.481711,-1.69646,-20
-0.418879,-1.69646,-20
-0.356047,-1.69646,-20
-0.293215,-1.69646,-20
-0.230383,-1.69646,-20
-0.167552,-1.69646,-20
-0.10472,-1.69646,-20
-0.0418879,-1.69646,-20
0.020944,-1.69646,-20
0.0837758,-1.69646,-20
0.146608,-1.69646,-20
0.20944,-1.69646,-20
0.272271,-1.69646,-20
0.335103,-1.69646,-20
0.397935,-1.69646,-20
0.460767,-1.69646,-20
0.523599,-1.69646,-20
0.586431,-1.69646,-20
0.649262,-1.69646,-20
0.712094,-1.69646,-20
0.774926,-1.69646,-20
0.837758,-1.69646,-20
0.90059,-1.69646,-20
0.963422,-1.69646,-20
1.02625,-1.69646,-20
-1.0472,-1.63363,-20
-0.984366,-1.63363,-20
-0.921534,-1.63363,-20
-0.858702,-1.63363,-20
-0.79587,-1.63363,-20
-0.733038,-1.63363,-20
-0.670206,-1.63363,-20
-0.607375,-1.63363,-20
-0.544543,-1.63363,-20
-0.481711,-1.63363,-20
-0.418879,-1.63363,-20
-0.356047,-1.63363,-20
-0.293215,-1.63363,-20
-0.230383,-1.63363,-20
-0.167552,-1.63363,-20
-0.10472,-1.63363,-20
-0.0418879,-1.63363,-20
0.020944,-1.63363,-20
0.0837758,-1.63363,-20
0.146608,-1.63363,-20
0.20944,-1.63363,-20
0.272271,-1.63363,-20
0.335103,-1.63363,-20
0.397935,-1.63363,-20
0.460767,-1.63363,-20
0.523599,-1.63363,-20
0.586431,-1.63363,-20
0.649262,-1.63363,-20
0.712094,-1.63363,-20
0.774926,-1.63363,-20
0.837758,-1.63363,-20
0.90059,-1.63363,-20
0.963422,-1.63363,-20
1.02625,-1.63363,-20
-1.0472,-1.5708,-20
-0.984366,-1.5708,-20
-0.921534,-1.5708,-20
-0.858702,-1.5708,-20
-0.79587,-1.5708,-20
-0.733038,-1.5708,-20
-0.670206,-1.5708,-20
-0.607375,-1.5708,-20
-0.544543,-1.5708,-20
-0.481711,-1.5708,-20
-0.418879,-1.5708,-20
-0.356047,-1.5708,-20
-0.293215,-1.5708,-20
-0.230383,-1.5708,-20
-0.167552,-1.5708,-20
-0.10472,-1.5708,-20
-0.0418879,-1.5708,-20
0.020944,-1.5708,-20
0.0837758,-1.5708,-20
0.146608,-1.5708,-20
0.20944,-1.5708,-20
0.272271,-1.5708,-20
0.335103,-1.5708,-20
0.397935,-1.5708,-20
0.460767,-1.5708,-20
0.523599,-1.5708,-20
0.586431,-1.5708,-20
0.649262,-1.5708,-20
0.712094,-1.5708,-20
0.774926,-1.5708,-20
0.837758,-1.5708,-20
0.90059,-1.5708,-20
0.963422,-1.5708,-20
1.02625,-1.5708,-20
-1.0472,-1.50796,-20
-0.984366,-1.50796,-20
-0.921534,-1.50796,-20
